Project,StationCode,Sample Year,SampleDate,Replicate,UniqueID,CollectionTime,CollectionMethod_BMI,UniqueID_CSCI,CSCI Score,So Cal IBI,North Coast IBI,UniqueID_IPI,IPI,UniqueID_ASCI,ASCIdiatom,ASCIsba,ASCIhybrid,D18,H20,S2,CRAM,Mean Water Alkalinity Total (mg/L),Mean Water Dissolved Oxygen (mg/L),Mean Water pH,Mean Water Specific Conductivity (uS/cm),Mean Water Temperature (C),Mean Water Temperature (F),Mean Water Turbidity (NTU)
RWB2_Ref_NP_2012,201AHO350,2012,6/20/2012,1,201AHO35041080,1/0/1900,BMI_RWB,201AHO350_6/20/2012_BMI_RWB_RWB2_Ref_NP_2012_R1,1.035966,86.8,72.45,201AHO350_6/20/2012,1.02,201AHO350_20-Jun-12_1,1.11572443009031,0.497261703646109,1.07956359813571,74,79,68,,140,10.27,7.93,326,12.8,60.6,1.14
RWB2_Status_Yr5,201AUD020,2005,4/12/2005,1,201AUD02038454,,BMI_CSBP_Comp,201AUD020_4/12/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,1.059641,83,66,NA,,NA,,,,NA,NA,NA,,3,,,208,10.9,51.6,
SWB_CMAP_2004,201CE0039,2004,5/26/2004,1,,1/0/1900,BMI_RWB,201CE0039_5/26/2004_BMI_RWB_SWB_CMAP_2004_R1,0.979954,,,201CE0039_5/26/2004,0.97,NA,,,,NA,NA,NA,,NR,8.2,NR,372,14.3,57.7,NR
SWB_CMAP_2004,201CE0039,2004,5/26/2004,1,201CE003938133,1/0/1900,BMI_TRC,201CE0039_5/26/2004_BMI_TRC_SWB_CMAP_2004_R1,1.1436,69,55,201CE0039_5/26/2004,0.97,NA,,,,NA,NA,NA,,NR,8.2,NR,372,14.3,57.7,NR
RWB2_Ref_NP_2012,201CHE300,2012,6/18/2012,1,201CHE30041078,1/0/1900,BMI_RWB,201CHE300_6/18/2012_BMI_RWB_RWB2_Ref_NP_2012_R1,1.08175,78.3,70.05,201CHE300_6/18/2012,0.95,201CHE300_18-Jun-12_1,0.911588821907661,0.854116502853835,0.88608306368135,34,39,52,,200,10.31,8.18,378,14.9,58.8,4.02
RWB2_Status_Yr5,201EAS020,2005,4/13/2005,1,201EAS02038455,1/0/1900,BMI_CSBP_Comp,201EAS020_4/13/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.884846,57,48,NA,,NA,,,,NA,NA,NA,,NR,NR,NR,NR,NR,NR,0.69
RWB2_Status_Yr5,201EAS050,2005,4/13/2005,1,201EAS05038455,1/0/1900,BMI_CSBP_Comp,201EAS050_4/13/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.876344,73.85,57.9,NA,,NA,,,,NA,NA,NA,,NR,NR,NR,NR,NR,NR,1.66333333333333
RWB2_WadeableStreams_2017,201HAL100,2017,6/19/2017,1,201HAL10042905,,BMI_RWB,201HAL100_06/19/17_BMI_RWB_1,0.687516089210099,,,201HAL100_6/19/2017_RWQCB2,1.07,201HAL100_19-Jun-17_1,0.927479451789484,0.883192023422309,0.877779423221054,,,,,75,8.08,7.26,236.4,17.9,64.3,3.09
RWB2_WadeableStreams_2017,201HAL100,2017,6/19/2017,2,,,BMI_RWB,201HAL100_06/19/17_BMI_RWB_2,0.783410061392517,,,201HAL100_6/19/2017_RWQCB2,1.07,201HAL100_19-Jun-17_2,0.950787042123697,1.06474595069614,0.977498766883121,,,,,75,8.08,7.26,236.4,17.9,64.3,3.09
RWB2_RefStreams_2016,201HAL400,2016,5/24/2016,1,201HAL40042514,,BMI_RWB,201HAL40042514BMI_RWB1,1.052669,73.15,64.85,201HAL400_5/24/2016_DFW-ABL,1.02,201HAL400_24-May-16_1,1.00432243349938,0.911410289759897,0.812862471631458,60,58,45,,45,9.45,7.97,225.2,12.9,55.2,0.29
