StationCode,New_Lat,New_Long,AREA_SQKM,AtmCa,AtmMg,AtmSO4,BDH_AVE,CaO_Mean,ELEV_RANGE,EVI_MaxAve,KFCT_AVE,LPREM_mean,LST32AVE,MAX_ELEV,MAXWD_WS,MEANP_WS,MgO_Mean,MINP_WS,N_MEAN,P_MEAN,PPT_00_09,PRMH_AVE,PSA6,PSA8,S_Mean,SITE_ELEV,SumAve_P,TEMP_00_09,TMAX_WS,UCS_Mean,XerMtn,XWD_WS
201AHO350,37.944761,-122.742972,2.719270677,0.044204067,0.048155125,0.283396766,1.499914477,17.54578209,272,,0.258923297,0.258923297,35,416,9.333333333,992.75,0,6.280571938,,0.109139084,100408.6016,2,Chaparral,,1.275959969,144,870.2222087,1944.599976,230,66.61746979,0,58.66666667
201AUD020,37.93150481,-122.6799978,1.066984042,0.044962727,0.048888061,0.288247228,1.421000004,3.363109112,477,,0.187999994,0.187999994,35.5,495,10.5,1132.666667,0.5,3.004709005,,0.104067305,81777.29688,1.73300004,Chaparral,,0.057186998,18,751.4666748,1834.5,245,101.7499161,0,65.5
201CE0039,38.014807,-122.688286,17.00434178,0.045076466,0.049667118,0.290612041,1.488206291,2.191337158,355,,0.261254124,0.261254124,37.19230769,430,10.94230769,1121.461538,0.736842105,17.23665525,,0.021260895,97507.20313,1.665169056,Chaparral,,0.097169224,75,827.7631515,2046.300049,280.5263158,95.18277203,0,69.05769231
201CHE300,38.03945,-122.741796,2.848499962,0.043951057,0.048517968,0.283271362,1.512149004,7.915765762,283,,0.2404961,0.2404961,43.875,318,10.625,963,0,5.960118771,,0.118507329,86601.39844,1.927000046,Chaparral,,0.034005001,35,871.7777913,2026.099976,265,197.8864136,0,66.875
201EAS020,37.898378,-122.641818,3.717333533,0.045371057,0.049134726,0.290498955,1.436156105,4.803086774,630,,0.197635809,0.197635809,31.27272727,634,9,1191.5,1.25,3.939487174,,0.101003143,121482.7031,1.73300004,Chaparral,,0.049854673,4,968.166687,1953.300049,218.25,132.1573067,0,56.63636364
201EAS050,37.900582,-122.637146,1.325077438,0.04534327,0.049176575,0.290488614,1.434006433,4.94664186,591,,0.197181731,0.197181731,32,623,9,1229.5,2,4.032677619,,0.135336241,121482.7031,1.73300004,Chaparral,,0.049123695,32,968.166687,1953.300049,241,135.1886978,0,57
201HAL100,38.07074,-122.68896,21.21750086,0.045022198,0.050059664,0.291357491,1.511616376,3.363109112,509,,0.249288013,0.249288013,41.36507937,575,12.25396825,1155.645833,0.464285714,3.004709005,,0.066943148,88787.70313,1.85965173,Chaparral,,0.057186998,66,790.4060724,2059.600098,271.9642857,101.7499161,0,72.80952381
201HAL400,38.078809,-122.654151,10.83510033,0.045328743,0.050425269,0.293485549,1.514999986,3.363109112,475,,0.243000001,0.243000001,38.11764706,575,12.02941176,1225.875,0.846153846,3.004709005,,0.099815666,103582.1016,1.927000046,Chaparral,,0.057186998,100,771.4800171,2054.399902,275.1538462,101.7499161,0,72.02941176
201LAG050,38.04181,-122.78969,32.67000221,0.043890334,0.048134123,0.282084401,1.435871183,8.466833441,429,,0.203533615,0.203533615,40.91919192,444,10,984.3066667,0,4.024218604,,0.111344649,79198.29688,1.776985845,Chaparral,,0.51667449,15,884.9100971,1945.599976,251.7297297,78.83602185,0,64.86868687
201LAG065,38.01235,-122.768198,21.73500204,0.044063819,0.048258717,0.283086983,1.451525828,8.710409711,404,,0.215644216,0.215644216,39.6969697,444,10.03030303,1025.588235,0,4.130026836,,0.114220858,88362.60156,1.838000024,Chaparral,,0.531105214,40,890.2212108,2012.199951,258.3076923,81.42676219,0,65.1969697
201LAG103,37.990518,-122.751216,6.580796005,0.044338615,0.048486506,0.284750374,1.429317323,4.198763228,349,,0.196782363,0.196782363,38.33333333,444,10,1043,0,2.846602713,,0.117268385,88362.60156,1.77255559,Chaparral,,0.175065809,95,890.695234,2012.199951,257.2222222,77.04469197,0,63.71428571
201LAG130,38.074794,-122.784259,212.1327247,0.044632992,0.049241772,0.287788287,1.496062368,4.730545094,778,,0.237419735,0.237419735,41.0906298,785,11.0506135,1097.940083,0.62890625,7.542526024,,0.052794919,81943.39844,1.853469965,Chaparral,,0.057678434,7,884.3887831,1985.800049,270.1914063,134.692477,0,68.88957055
201LAG140,38.07034,-122.77051,207.0980998,0.044666735,0.049275344,0.288006181,1.493735181,4.658245074,771,,0.236149751,0.236149751,40.8364486,785,11.09501558,1099.346072,0.588,7.627652567,,0.052481505,87661,1.856086549,Chaparral,,0.058326294,14,884.9811392,2039.099976,269.992,133.3172291,0,69.03738318
201LAG150,38.06669,-122.70264,22.55354989,0.044982189,0.050003459,0.291058872,1.510489856,3.363109112,519,,0.251424024,0.251424024,41.57575758,575,12.1969697,1145.333333,0.5,3.004709005,,0.061483118,88787.70313,1.840130479,Chaparral,,0.057186998,56,807.1652275,2059.600098,272.2692308,101.7499161,0,72.72727273
201LAG160,38.06156,-122.69958,30.59910017,0.044971739,0.049773184,0.290451346,1.510102833,2.832851559,458,,0.243642532,0.243642532,39.27368421,514,11.28421053,1093.176471,0.394736842,3.564306647,,0.026042102,94949.5,1.898158775,Chaparral,,0.050600254,56,798.7643896,2039.699951,269.4736842,86.73690739,0,71.21052632
201LAG165,38.05839,-122.76522,108.8936997,0.044841628,0.04920681,0.288540797,1.477093347,5.137698105,761,,0.226126942,0.226126942,38.24778761,785,10.72861357,1154.023622,0.992248062,9.949879996,,0.069727967,86601.39844,1.82261323,Chaparral,,0.061626111,24,919.6985021,2026.099976,270.7596899,146.3902925,0,68.13274336
201LAG175,38.04473,-122.750729,103.2281991,0.044888157,0.049237924,0.288804083,1.479723913,5.151296358,764,,0.227982287,0.227982287,38.02848101,785,10.68670886,1163.223629,0.868852459,10.14899748,,0.070979588,86601.39844,1.819000043,Chaparral,,0.062048054,21,924.6933902,2026.099976,270.6639344,146.9338986,0,68.10443038
201LAG180,38.037353,-122.745988,3.006870716,0.043972592,0.048532817,0.283394237,1.51636646,7.915765762,289,,0.242597199,0.242597199,44.22222222,318,10.77777778,956.2857143,0,5.960118771,,0.115715086,86601.39844,1.927000046,Chaparral,,0.034005001,29,881.9222209,2026.099976,264.75,197.8864136,0,67.55555556
201LAG18X,38.065217,-122.803657,215.4185904,0.04459012,0.04919098,0.287491407,1.49527844,4.660784334,780,,0.237037657,0.237037657,41.12180451,785,11.05120482,1083.020325,0.539923954,7.334206429,,0.05362352,81943.39844,1.862422908,Chaparral,,0.057959154,5,882.9696977,1985.800049,269.0418251,132.6994875,0,68.81927711
201LAG190,38.02954,-122.736246,7.050595747,0.044232343,0.048820601,0.285143634,1.478424495,6.488100496,391,,0.222242408,0.222242408,44,435,10.95454545,989.875,0,5.373628681,,0.120343342,86601.39844,1.888200045,Chaparral,,0.03777808,44,885.9799927,2026.099976,263,166.3023453,0,69.18181818
201LAG210,38.01861,-122.73306,87.67079861,0.045043514,0.049363835,0.289737517,1.487054693,4.986371385,749,,0.233492102,0.233492102,37.09225092,785,10.70479705,1202.462312,1.028301887,11.46238234,,0.065398733,88362.60156,1.814277217,Chaparral,,0.066695915,36,924.7295765,2012.199951,271.3396226,145.4269347,0,68.23247232
201LAG220,38.01611,-122.72297,84.57929886,0.04508723,0.049413133,0.29003421,1.482507852,4.944477857,740,,0.230784007,0.230784007,36.70114943,785,10.74329502,1203.654639,1.079207921,11.91014028,,0.063368782,97507.20313,1.817348615,Chaparral,,0.068049453,45,939.3771213,2046.300049,271.7524752,145.1452417,0,68.35249042
201LAG240,38.00703,-122.70569,24.16120182,0.044909264,0.049464355,0.289442655,1.479619917,3.793546205,387,,0.247201923,0.247201923,38.90540541,447,10.98648649,1093.285714,0.448275862,13.13586345,,0.033293561,97507.20313,1.708844702,Chaparral,,0.076300513,60,844.8948622,2046.300049,276.4482759,122.3298744,0,69.31081081
201LAG241,38.008307,-122.703405,23.95259979,0.044914281,0.049470847,0.289478741,1.480194622,3.604742255,385,,0.247782334,0.247782334,38.90540541,447,10.98648649,1093.285714,0.464285714,13.46452351,,0.031034134,97507.20313,1.708366379,Chaparral,,0.078237712,62,843.0079907,2046.300049,276.7142857,118.8692695,0,69.31081081
201LAG242,38.013619,-122.69674,22.28759983,0.044943622,0.049508503,0.289689039,1.483772119,3.225200319,377,,0.251429751,0.251429751,38.66176471,447,10.98529412,1097.230769,0.5,14.12521031,,0.027472499,97507.20313,1.702404297,Chaparral,,0.082131954,70,843.0079907,2046.300049,277.1538462,111.9126107,0,69.39705882
201LAG270,38.01356,-122.66664,10.85183594,0.04519548,0.049795937,0.291406409,1.495707585,2.517037804,340,,0.261618138,0.261618138,35.73529412,430,10.94117647,1141.230769,0.933333333,14.59320921,,0.019468926,105879,1.688739173,Chaparral,,0.091563723,90,814.133316,2074.100098,281.4,99.69538462,0,68.38235294
201LAG280,38.013003,-122.660755,10.30140059,0.045226762,0.049836822,0.291632431,1.500238435,2.577795078,334,,0.266164829,0.266164829,35.71875,430,10.9375,1141.826087,1,13.72476079,,0.02028878,105879,1.721409134,Chaparral,,0.088942896,96,814.133316,2074.100098,281.6428571,99.76866558,0,68.375
201LAG289,38.01306,-122.651005,7.780500703,0.045262312,0.049882275,0.29188682,1.503097786,3.168703421,327,,0.264372015,0.264372015,35.36,430,10.92,1141.555556,1.111111111,5.667451931,,0.021884526,105879,1.711529455,Chaparral,,0.065085896,103,840.6142665,2074.100098,279.7777778,101.2778369,0,67.92
201LAG290,38.013123,-122.650594,7.785347396,0.045262161,0.049881943,0.291885396,1.503097786,3.168703421,329,,0.264372015,0.264372015,35.36,430,10.92,1141.555556,1.111111111,5.667451931,,0.021861705,105879,1.711529455,Chaparral,,0.065085896,101,846.458313,2074.100098,279.7777778,101.2778369,0,67.92
201LAG300,38.01275,-122.64689,3.692873838,0.04524088,0.04981551,0.291637025,1.508699931,2.737476251,326,,0.254698107,0.254698107,35.66666667,430,10.83333333,1155,1.25,11.57389988,,0.010912477,105879,1.6891429,Chaparral,,0.082607088,104,887.3666382,2074.100098,285.75,100.2306796,0,68.58333333
201LAG320,38.00453,-122.70878,58.2704991,0.04518194,0.049400477,0.290384699,1.486051236,4.990196706,734,,0.225906535,0.225906535,35.67039106,785,10.6424581,1262.571429,1.385714286,12.18264223,,0.070634953,97507.20313,1.86895906,Chaparral,,0.069021603,51,968.8087338,2046.300049,269.0857143,146.6883945,0,67.96089385
201LAG330,37.99194,-122.66972,3.363910553,0.045000435,0.049401046,0.289654227,1.514999986,1.096291178,385,,0.243000001,0.243000001,37.63636364,534,11,1209,0.2,34.31211935,,0.03502506,105879,1.927000046,Chaparral,,0.149932132,149,903.5666504,2074.100098,291.4,96.58298165,0,69.18181818
201LAG335,37.992222,-122.66,0.972900033,0.044980673,0.049395038,0.289559972,1.514957404,1.069121957,218,,0.243000001,0.243000001,36.25,459,11,1198.5,0.5,34.42507553,,0.058775,105879,1.927000046,Chaparral,,0.150393993,241,887.3666382,2074.100098,292,96.17938232,0,69.25
201LAG380,37.96722,-122.64945,1.432800257,0.045121619,0.049403703,0.290148754,1.514999986,1.069121957,322,,0.243000001,0.243000001,36,530,11,1210.5,1.5,34.42507553,,0.01859548,107332.8984,1.927000046,Chaparral,,0.150393993,208,952.166687,2022.800049,283,96.17938232,0,70
201LAG385,37.949945,-122.650491,28.98539953,0.045500096,0.049644049,0.292263002,1.507535774,5.305719229,656,,0.238184503,0.238184503,33.65909091,785,10.56818182,1371.447761,2.588235294,16.81140063,,0.055631082,107332.8984,1.909216712,Chaparral,,0.078374285,129,1026.711092,2022.800049,263.6176471,159.1141199,0,67.79545455
201LAG390,37.932494,-122.635633,3.48118827,0.045461613,0.049408303,0.291532211,1.510664366,7.915765762,494,,0.237037827,0.237037827,31.8,729,9.8,1465.222222,2.2,5.960118771,,0.113877925,121482.7031,1.862333377,Chaparral,,0.034005001,235,1081.14443,1953.300049,255.4,197.8864136,0,62.6
201LAGCPT,38.01943,-122.72902,86.61419909,0.045058979,0.049379738,0.289838725,1.484224138,5.022264638,735,,0.232032185,0.232032185,36.80524345,785,10.74906367,1204.939698,1.057692308,11.64939674,,0.065196144,97507.20313,1.822994623,Chaparral,,0.066906174,50,934.8072186,2046.300049,271.7115385,146.3927123,0,68.38576779
201MRS020,37.9196808,-122.6695183,1.793378769,0.045082035,0.049029295,0.289073782,1.420857638,3.363109112,511,,0.187999994,0.187999994,33.8,517,9.8,1175,1,3.004709005,,0.087876957,81777.29688,1.73300004,Chaparral,,0.057186998,6,751.4666748,1834.5,237,101.7499161,0,61.2
201MUD500,38.052323,-122.867276,4.969799425,0.042362522,0.046679209,0.272354851,1.692960018,8.574113267,374,,0.252293757,0.252293757,51.375,409,10.75,951.5833333,1,3.414824253,,0.158316267,78914.89844,20,Chaparral,,0.422457378,35,1026.966695,1841.300049,237.2857143,120.1867839,0,66.0625
201NIC400,38.055971,-122.662242,10.2761996,0.045159634,0.05007711,0.291951865,1.514999986,3.342923171,425,,0.243000001,0.243000001,38.84848485,514,11.84848485,1147.791667,0.714285714,3.02601187,,0.019940411,103069.6016,1.927000046,Chaparral,,0.056936253,89,786.6727517,2043.900024,272.8571429,101.1783981,0,72.39393939
201PNG010,37.919796,-122.691744,20.41620321,0.044420149,0.048393965,0.284851878,1.46360184,12.08892495,479,,0.227988086,0.227988086,34.75,483,9.4375,937.8666667,0.038461538,4.845246021,,0.114630149,76353.79688,1.886448293,Chaparral,,0.835549891,4,862.3439442,1806.199951,231.2692308,69.31383372,0,59.65625
201PNG050,37.954443,-122.717977,6.307959763,0.044154512,0.048192402,0.283288789,1.496633236,16.08927383,365,,0.254260934,0.254260934,36.72222222,418,9.722222222,995.4,0,5.829560182,,0.112528658,91877,2,Chaparral,,1.168495519,53,883.6904733,1969.900024,251.875,63.05599706,0,61.61111111
201RDW040,37.862567,-122.5727005,2.526575392,0.045996605,0.049599867,0.294166693,1.437641406,0,306,,0.198047225,0.198047225,1.333333333,310,8.222222222,855,1.5,0,,0,83818.29688,1.73300004,Chaparral,,0,4,722,1832.099976,209.5,0,0,54.11111111
201RDW060,37.862454,-122.574966,19.36309115,0.045815944,0.049648966,0.293552944,1.444052981,3.13737894,780,,0.201800098,0.201800098,19.30645161,785,8.387096774,1067.418605,2.291666667,25.82628651,,0.004885318,83818.29688,1.798475042,Chaparral,,0.115234818,5,883.2954462,1832.099976,223.2916667,126.9033813,0,56.20967742
201RDW080,37.87694777,-122.5810976,16.36290007,0.045822285,0.049677576,0.293648257,1.446670653,2.955442189,769,,0.203431219,0.203431219,21.44230769,785,8.442307692,1084.051282,2.523809524,26.58268948,,0.005720877,83818.29688,1.807176513,Chaparral,,0.118327638,16,919.8803819,1832.099976,227.1904762,124.2007073,0,56.69230769
201RDW100,37.884251,-122.570866,12.5577681,0.045831839,0.04971249,0.29377194,1.46208914,3.03498998,755,,0.212415888,0.212415888,24.26190476,785,8.547619048,1098.740741,2.6,26.25196913,,0.007831544,83818.29688,1.815076966,Chaparral,,0.116975371,30,912.2288778,1832.099976,228.2666667,125.3823913,0,57.38095238
201RDW120,37.900157,-122.578214,8.036127012,0.045759065,0.049705281,0.293459433,1.477914694,2.899412875,708,,0.221207122,0.221207122,28.4,785,8.56,1222.333333,3,26.81563164,,0.011810277,116578.8984,1.856454589,Chaparral,,0.119280104,77,981.4592421,1971.400024,233.6363636,123.3683907,0,58.16
201RDW700,37.88424644,-122.5708873,12.5559,0.045829875,0.04972556,0.293795787,1.464777565,2.904304833,757,4912.403403,0.21374771,-1.132974556,24.26190476,785,8.547619048,1183.222222,26.79529331,2.5625,0.000400187,0.007283053,83818.29688,1.814480042,Chaparral,Coastal Chaparral,0.119196943,28,912.2288778,1832.099976,228.25,123.4410608,0,57.38095238
201RDW710,37.89133214,-122.5704832,9.6381,0.045792489,0.049717013,0.293623421,1.467469565,2.904304833,741,4896.15231,0.215535863,-1.132974556,27.3125,785,8.65625,1239.916667,26.79529331,2.846153846,0.000520982,0.009477778,83818.29688,1.862333377,Chaparral,Coastal Chaparral,0.119196943,44,981.9499817,1832.099976,232.0769231,123.4410608,0,58.40625
201RDW720,37.90006982,-122.5781115,8.034300006,0.045762847,0.049708229,0.293481925,1.478974274,2.899412875,727,4877.489231,0.221829776,-1.133933632,28.46153846,785,8.576923077,1222.333333,26.81563164,3,0.00064648,0.011763028,116578.8984,1.852823573,Chaparral,Coastal Chaparral,0.119280104,58,981.4592421,1971.400024,233.6363636,123.3683907,0,58.26923077
