StationCode,New_Lat,New_Long,AG_1k_01,AG_1k_06,AG_1k_11,AG_1k_16,AG_5k_01,AG_5k_06,AG_5k_11,AG_5k_16,AG_WS_01,AG_WS_06,AG_WS_11,AG_WS_16,AGUR_1k_01,AGUR_1k_06,AGUR_1k_11,AGUR_1k_16,AGUR_5k_01,AGUR_5k_06,AGUR_5k_11,AGUR_5k_16,AGUR_WS_01,AGUR_WS_06,AGUR_WS_11,AGUR_WS_16,CD21_1k_01,CD21_1k_06,CD21_1k_11,CD21_1k_16,CD21_5k_01,CD21_5k_06,CD21_5k_11,CD21_5k_16,CD21_WS_01,CD21_WS_06,CD21_WS_11,CD21_WS_16,CNL_PI_PCT,MINES,NRST_DAM,PVD_INT_1k,PVD_INT_5k,PVD_INT_WS,RDRRDEN_1k,RDRRDEN_5k,RDRRDEN_WS,UR_1k_01,UR_1k_06,UR_1k_11,UR_1k_16,UR_5k_01,UR_5k_06,UR_5k_11,UR_5k_16,UR_WS_01,UR_WS_06,UR_WS_11,UR_WS_16
201AHO350,37.944761,-122.742972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201AUD020,37.93150481,-122.6799978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.117647059,4.117647059,4.117647059,4.117647059,4.117647059,4.117647059,4.117647059,4.117647059,0,0,-9999,0,0,0,0.659133583,1.734122029,1.734122029,0,0,0,0,0,0,0,0,0,0,0,0
201CE0039,38.014807,-122.688286,0,0,0,0,0,0,0,0,0,0,0,0,4.044117647,4.411764706,4.411764706,4.411764706,2.338854768,2.425708791,2.43191265,2.456728085,2.059399651,2.133516862,2.138810948,2.159987294,20.22058824,20.22058824,20.22058824,20.22058824,15.11260004,16.40300267,16.39679881,16.37198337,13.75403674,14.85520673,14.84991265,14.8287363,0,0,-9999,2,21,24,4.239242989,4.129664908,3.807886762,4.044117647,4.411764706,4.411764706,4.411764706,2.338854768,2.425708791,2.43191265,2.456728085,2.059399651,2.133516862,2.138810948,2.159987294
201CHE300,38.03945,-122.741796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,1.281275281,1.149152583,1.149152583,0,0,0,0,0,0,0,0,0,0,0,0
201EAS020,37.898378,-122.641818,0.976138829,0.976138829,0.976138829,0.976138829,0.409342644,0.409342644,0.409342644,0.409342644,0.409342644,0.409342644,0.409342644,0.409342644,20.28199566,20.28199566,20.28199566,20.39045553,4.984348664,4.984348664,4.984348664,5.008427643,4.984348664,4.984348664,4.984348664,5.008427643,30.5856833,30.5856833,30.5856833,30.47722343,9.342643872,9.342643872,9.342643872,9.318564893,9.342643872,9.342643872,9.342643872,9.318564893,0,0,-9999,3,3,3,5.07927535,1.809070718,1.809070718,19.30585683,19.30585683,19.30585683,19.4143167,4.57500602,4.57500602,4.57500602,4.599084999,4.57500602,4.57500602,4.57500602,4.599084999
201EAS050,37.900582,-122.637146,0,0,0,0,0,0,0,0,0,0,0,0,0.347826087,0.347826087,0.347826087,0.347826087,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,6.260869565,6.260869565,6.260869565,6.260869565,5.669398907,5.669398907,5.669398907,5.669398907,5.669398907,5.669398907,5.669398907,5.669398907,0,0,-9999,0,0,0,0.019197463,0.659970535,0.659970535,0.347826087,0.347826087,0.347826087,0.347826087,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022,0.136612022
201HAL100,38.07074,-122.68896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006395498,0.006395498,0.006395498,0.006395498,0.004241782,0.004241782,0.004241782,0.004241782,2.645502646,2.645502646,2.645502646,2.645502646,0.47326682,0.47326682,0.47326682,0.47326682,0.313891835,0.313891835,0.313891835,0.313891835,0,0,-9999,0,2,2,0.817958616,0.332157112,0.40768943,0,0,0,0,0.006395498,0.006395498,0.006395498,0.006395498,0.004241782,0.004241782,0.004241782,0.004241782
201HAL400,38.078809,-122.654151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0.332741299,0.366282298,0,0,0,0,0,0,0,0,0,0,0,0
204FCA016,37.32892721,-121.675018,0,,,,0,,,,0,,,,0,,,,0.0764,,,,0.0293,,,,13.1744,,,,3.0112,,,,2.1667,,,,,0,-9999,2,3,3,3.133006927,0.722634854,0.602088521,0,,,,0.0764,,,,0.0293,,,
201LAG050,38.04181,-122.78969,0,0,0,0,0,0,0,0,0,0,0,0,2.008310249,2.008310249,2.008310249,2.008310249,0.25777625,0.25777625,0.25777625,0.25777625,0.258953168,0.258953168,0.258953168,0.258953168,6.094182825,6.094182825,6.094182825,6.094182825,1.632582918,1.632582918,1.632582918,1.632582918,1.344352617,1.344352617,1.344352617,1.344352617,0,0,-9999,2,5,14,1.67705677,0.66428645,0.761303988,2.008310249,2.008310249,2.008310249,2.008310249,0.25777625,0.25777625,0.25777625,0.25777625,0.258953168,0.258953168,0.258953168,0.258953168
201LAG065,38.01235,-122.768198,0,0,0,0,0,0,0,0,0,0,0,0,0.13986014,0.13986014,0.13986014,0.13986014,0.174852965,0.174852965,0.174852965,0.174852965,0.215320911,0.215320911,0.215320911,0.215320911,1.911421911,1.911421911,1.911421911,1.911421911,1.075610661,1.075610661,1.075610661,1.075610661,1.047619048,1.047619048,1.047619048,1.047619048,0,0,-9999,1,5,10,0.499385436,0.587679868,0.718627078,0.13986014,0.13986014,0.13986014,0.13986014,0.174852965,0.174852965,0.174852965,0.174852965,0.215320911,0.215320911,0.215320911,0.215320911
201LAG103,37.990518,-122.751216,0,0,0,0,0,0,0,0,0,0,0,0,2.088772846,2.088772846,2.088772846,2.088772846,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,7.832898172,7.832898172,7.832898172,7.832898172,1.641137856,1.641137856,1.641137856,1.641137856,1.641137856,1.641137856,1.641137856,1.641137856,0,0,-9999,0,5,5,2.431915851,1.170643048,1.170643048,2.088772846,2.088772846,2.088772846,2.088772846,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803,0.533369803
201LAG130,38.074794,-122.784259,0,0,0,0,0,0,0,0,0,0,0,0,0.756811302,0.756811302,0.756811302,0.756811302,0.606628798,0.606628798,0.606628798,0.606628798,0.44292466,0.450137035,0.45098555,0.453106836,4.137235116,4.137235116,4.137235116,4.137235116,2.059780511,2.059780511,2.059780511,2.059780511,3.056774117,3.144595386,3.143746871,3.142474099,1.031306681,0,2.72738316,0,6,88,1.404041098,1.414415133,1.475738206,0.756811302,0.756811302,0.756811302,0.756811302,0.606628798,0.606628798,0.606628798,0.606628798,0.44292466,0.450137035,0.45098555,0.453106836
201LAG140,38.07034,-122.77051,0,0,0,0,0,0,0,0,0,0,0,0,0.86918731,0.86918731,0.86918731,0.86918731,0.641070309,0.641070309,0.641070309,0.641070309,0.44066073,0.448048534,0.448917687,0.45109057,4.737070839,4.737070839,4.737070839,4.737070839,1.902306459,1.902306459,1.902306459,1.902306459,3.084190536,3.174147904,3.173278751,3.171975021,1.049665351,0,1.69477495,2,10,88,2.022116089,1.380240864,1.481510478,0.86918731,0.86918731,0.86918731,0.86918731,0.641070309,0.641070309,0.641070309,0.641070309,0.44066073,0.448048534,0.448917687,0.45109057
201LAG150,38.06669,-122.70264,0,0,0,0,0,0,0,0,0,0,0,0,0.514403292,0.514403292,0.514403292,0.514403292,0.044365572,0.044365572,0.044365572,0.044365572,0.023969319,0.023969319,0.023969319,0.023969319,3.909465021,3.909465021,3.909465021,3.909465021,0.946465543,0.946465543,0.946465543,0.946465543,0.503355705,0.503355705,0.503355705,0.503355705,0,1,-9999,0,2,2,1.181891146,0.497371541,0.444519069,0.514403292,0.514403292,0.514403292,0.514403292,0.044365572,0.044365572,0.044365572,0.044365572,0.023969319,0.023969319,0.023969319,0.023969319
201LAG160,38.06156,-122.69958,0,0,0,0,0,0,0,0,0,0,0,0,0.770218228,0.770218228,0.770218228,0.770218228,0.189311198,0.189311198,0.189311198,0.189311198,0.164710727,0.164710727,0.164710727,0.164710727,3.722721438,3.722721438,3.722721438,3.722721438,3.189165574,3.189165574,3.189165574,3.189165574,2.714785729,2.714785729,2.714785729,2.714785729,0,0,-9999,1,13,16,1.308428022,1.26324253,1.342066284,0.770218228,0.770218228,0.770218228,0.770218228,0.189311198,0.189311198,0.189311198,0.189311198,0.164710727,0.164710727,0.164710727,0.164710727
204R01415,37.58349,-122.03047,1.165501166,1.165501166,1.165501166,1.165501166,2.260752946,2.241594022,2.232014561,2.232014561,0.374108756,0.457401305,0.463444098,0.578257161,92.77389277,92.77389277,92.77389277,92.77389277,49.88983619,50.21553789,50.33049143,50.39754766,8.555832411,9.421584965,9.571184915,9.952860772,5.827505828,5.827505828,5.827505828,5.827505828,12.32876712,12.03180381,11.9360092,11.87853243,3.417879807,3.38047982,3.376995687,3.39447079,5.700325648,6,16.0054732,2,4,994,11.18497559,7.926603566,2.164140955,91.60839161,91.60839161,91.60839161,91.60839161,47.62908325,47.97394386,48.09847687,48.1655331,8.181723655,8.96418366,9.107740818,9.374603612
204R01695,37.71805,-122.05421,0,0,0,0,0,0,0,0,0,0,0,0,5.902004454,5.902004454,5.902004454,5.902004454,1.504306684,1.504306684,1.504306684,1.504306684,0.963024611,0.963024611,0.963024611,0.963024611,11.69265033,11.69265033,11.69265033,11.69265033,4.597840592,4.597840592,4.597840592,4.597840592,3.483533468,3.483533468,3.483533468,3.483533468,0,0,-9999,0,2,2,2.330938223,1.311852149,1.012522621,5.902004454,5.902004454,5.902004454,5.902004454,1.504306684,1.504306684,1.504306684,1.504306684,0.963024611,0.963024611,0.963024611,0.963024611
204R02340,37.68893,-121.92265,0,0,0,0,0,0,0,0,0,0,0,0,60.86142322,60.86142322,60.86142322,61.23595506,13.59882006,13.59882006,13.59882006,13.65781711,13.59882006,13.59882006,13.59882006,13.65781711,14.79400749,14.79400749,14.79400749,14.41947566,3.097345133,3.097345133,3.097345133,3.038348083,3.097345133,3.097345133,3.097345133,3.038348083,0,0,-9999,5,5,5,13.01876283,2.631609797,2.631609797,60.86142322,60.86142322,60.86142322,61.23595506,13.59882006,13.59882006,13.59882006,13.65781711,13.59882006,13.59882006,13.59882006,13.65781711
204R02695,37.60975,-122.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,1.360840941,1.215423337,1.215423337,0,0,0,0,0,0,0,0,0,0,0,0
204R02719,37.71666,-122.05394,0,0,0,0,0,0,0,0,0,0,0,0,4.9200492,4.9200492,4.9200492,4.9200492,1.621690105,1.621690105,1.621690105,1.621690105,1.010821739,1.010821739,1.010821739,1.010821739,13.89913899,13.89913899,13.89913899,13.89913899,5.067781579,5.067781579,5.067781579,5.067781579,3.6627423,3.6627423,3.6627423,3.6627423,0,0,-9999,0,2,2,2.099765531,1.360680037,1.019699874,4.9200492,4.9200492,4.9200492,4.9200492,1.621690105,1.621690105,1.621690105,1.621690105,1.010821739,1.010821739,1.010821739,1.010821739
204R03156,37.7082,-121.91702,0,0,0,0,0.040712468,0,0,0,0.742733493,0.733376221,0.733376221,0.733376221,89.76793249,91.03375527,91.66666667,92.40506329,44.63613232,49.32824427,50,50.27989822,32.99257267,42.39546172,42.82823557,43.2013568,10.23206751,8.966244726,8.333333333,7.594936709,15.82697201,16.31552163,16.42239186,17.17048346,15.26638985,15.90385403,15.97169425,16.06760629,0,0,-9999,4,40,183,10.66037361,8.739461223,7.405456037,89.76793249,91.03375527,91.66666667,92.40506329,44.59541985,49.32824427,50,50.27989822,32.24983917,41.6620855,42.09485935,42.46798058
