StationCode,StationName,Old_StaCode,Other_StaCode,Creek,Watershed,Sitedescri,SiteStatus_Final,FlowStatus_Final,GIS_Fails,SiteStatus_Rationale,FlowStatus_Rationale,SiteStatus_2017,FlowStatus_2014,SiteStatus_2013,FlowStatus_2013,BPJ_Nonref,TargetLatitude,TargetLongitude,Datum,Old_Lat,Old_Long,New_Lat,New_Long,hasWS
201AHO350,"Arroyo Hondo Creek in Point Reyes National Seashore, 200m DS of confluence of two tribs",201AHO350,,Arroyo Hondo,Arroyo Hondo,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.94495,-122.74306,NAD83,37.944761,-122.742972,37.944761,-122.742972,TRUE
201AUD020,Audubon Canyon,201AUD020,,?,?,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.93081,-122.68037,NAD83,37.931505,-122.679998,37.93150481,-122.6799978,TRUE
201CE0039,San Geronimo Creek ~1.5mi above Lagunitas Creek,201CE0039,,San Geronimo Creek,Lagunitas Creek,NA,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,38.015,-122.6880556,NAD83,38.014807,-122.688286,38.014807,-122.688286,TRUE
201CHE300,"Cheta Creek in GGNRA managed by PRNSS, 1.3 km above confluence with Lagunitas Creek",201CHE300,,?,Lagunitas Creek,NA,Reference,NP,0,,,Reference,NP,Reference,NP,FALSE,38.03977,-122.74191,NAD83,38.03945,-122.741796,38.03945,-122.741796,TRUE
201EAS020,Easkoot,201EAS020,,?,?,NA,Non-reference,P,4,,,Stressed,P,Stressed,P,FALSE,37.89844,-122.64174,NAD83,37.898378,-122.641818,37.898378,-122.641818,TRUE
201EAS050,Fitzhenry,201EAS050,,?,?,NA,Reference,NP,1,"failed Code21 (Fitzhenry), but 100% GGNRA protected open space",,Reference,NP,Intermediate,NP,FALSE,37.90023,-122.63733,NAD83,37.900582,-122.637146,37.900582,-122.637146,TRUE
201HAL100,Halleck Creek 2.3km upstream of confluence with Nicasio Creek,201HAL100,,Lagunitas Creek,Halleck Creek,Halleck u/s of quarry,Non-reference,NP,0,"high grazing, horse facility, poor road xing US",Field Obs,,,,,FALSE,38.07074,-122.68896,NAD83,38.07074,-122.68896,38.07074,-122.68896,TRUE
201HAL400,Halleck Creek ~0.2mi below Redwood Cyn.,201HAL400,,Halleck Creek,Lagunitas Creek,Halleck Creek - 0.6km upstream of rd xing on private road off of Old Rancheria Rd. in Nicasio,Reference,NP,0,,Field Obs,,,,,FALSE,38.078809,-122.654151,NR,38.078809,-122.654151,38.078809,-122.654151,TRUE
201LAG050,Olema Creek at Bear Valley Rd. Bridge - 201LAG050,201LAG050,,Lagunitas Creek,Olema Creek,Olema Creek u/s of  Bear Valley Rd.,Non-reference,P,0,,Mike Napolitano BPJ,,,,,FALSE,38.0418,-122.7897,NR,38.04181,-122.78969,38.04181,-122.78969,TRUE
201LAG065,Olema Creek approx 200m downstream of Five Brooks Ranch,201LAG065,,Lagunitas Creek,Olema Creek,Olema Creek directly d/s of Five Brooks Ranch,Non-reference,P,0,"grazing, roads, other sites nearby NR",Mike Napolitano BPJ,,,,,FALSE,38.012345,-122.768198,NAD83,38.01235,-122.768198,38.01235,-122.768198,TRUE
201LAG103,Olema Creek upstream of Mill Pond horse stables and grazed area,201LAG103,,Lagunitas Creek,Olema Creek,Olema Creek u/s of horse ranch and grazed area,Non-reference,P,2,,Mike Napolitano BPJ,,,,,FALSE,37.990518,-122.751216,NAD83,37.990518,-122.751216,37.990518,-122.751216,TRUE
201LAG130,Lagunitas at Gallagher Ranch and point Reyes-Petaluma Rd. Cross - 201LAG130,201LAG130,,Lagunitas Creek,Lagunitas Creek,NA,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,38.079722,-122.784167,NR,38.074794,-122.784259,38.074794,-122.784259,TRUE
201LAG140,Below Nicasio,201LAG140,,Lagunitas Creek,Lagunitas Creek,Below Nicasio,Non-reference,P,4,,Field Obs,,,,,FALSE,38.07034,-122.77051,NR,38.07034,-122.77051,38.07034,-122.77051,TRUE
201LAG150,Halleck,201LAG150,,Halleck Creek,Lagunitas Creek,,Non-reference,NP,1,,,,NP,Intermediate,NP,FALSE,38.06669,-122.70264,NR,38.06669,-122.70264,38.06669,-122.70264,TRUE
201LAG160,Nicasio,201LAG160,,Lagunitas Creek,Nicasio Creek,Nicasio Creek at Nicasio Creek Rd.,Non-reference,NP,2,,,Intermediate,NP,Intermediate,NP,FALSE,38.06156,-122.69958,NR,38.059663,-122.699386,38.06156,-122.69958,TRUE
201LAG165,Below Tocaloma,201LAG165,,Lagunitas Creek,Lagunitas Creek,Below Tocaloma,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,38.05839,-122.76522,NR,38.05839,-122.76522,38.05839,-122.76522,TRUE
201LAG175,Lagunitas Creek directly downstream of old Jewel town and 2017 floodplain restoration site,201LAG175,,Lagunitas Creek,Lagunitas Creek,at  restoration site SPAWN,Non-reference,P,4,,Field Obs,,,,,FALSE,38.04473,-122.750729,NAD83,38.04473,-122.750729,38.04473,-122.750729,TRUE
201LAG180,Cheda,201LAG180,,Lagunitas Creek,Lagunitas Creek,NA,Non-reference,P,1,failed road dens 1K barely (Cheda Creek) 100% open space,,Intermediate,P,Intermediate,P,FALSE,38.03722,-122.74611,NR,38.037353,-122.745988,38.037353,-122.745988,TRUE
201LAG18X,Lagunitas Creek Above Sir Francis Drake Bridge,201LAG18X,,Lagunitas Creek,Lagunitas Creek,NA,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,38.06485,-122.80336,NR,38.065217,-122.803657,38.065217,-122.803657,TRUE
201LAG190,Devils Gulch,201LAG190,,Lagunitas Creek,Lagunitas Creek,NA,Non-reference,P,1,failed road dens 1K barely (Devil’s Gulch) 100% open space,,Intermediate,P,Intermediate,P,FALSE,38.02964,-122.73636,NR,38.02954,-122.736246,38.02954,-122.736246,TRUE
201LAG210,Taylor Park,201LAG210,,Lagunitas Creek,Lagunitas Creek,Taylor Park,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,38.01861,-122.73306,NR,38.01861,-122.73306,38.01861,-122.73306,TRUE
201LAG220,Irving Bridge,201LAG220,,Lagunitas Creek,Lagunitas Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,38.01611,-122.72297,NR,38.016385,-122.722952,38.01611,-122.72297,TRUE
201LAG240,White Horse Bridge,201LAG240,,San Geronimo Creek,Lagunitas Creek,White Horse Bridge,Non-reference,P,3,,,Stressed,P,Stressed,P,FALSE,38.00703,-122.70569,NR,38.00703,-122.70569,38.00703,-122.70569,TRUE
201LAG241,San Geronimo Creek - 0.7km upstream of Lagunitas Creek confluence,201LAG241,,San Geronimo Creek,Lagunitas Creek,San Geronimo Creek - 0.7km upstream of Lagunitas Creek confluence,Non-reference,P,7,,Field Obs,,,,,FALSE,38.008307,-122.703405,NR,38.008307,-122.703405,38.008307,-122.703405,TRUE
201LAG242,San Geronimo - at MMWD station across from post office,201LAG242,,Lagunitas Creek,San Geronimo Creek,San Geronimo Creek behind Post Office along SFD and Castro St.,Non-reference,P,8,,Field Obs,,,,,FALSE,38.01432,-122.69601,NR,38.013619,-122.69674,38.013619,-122.69674,TRUE
201LAG270,Creamery Gulch,201LAG270,,San Geronimo Creek,Lagunitas Creek,Creamery Gulch,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,38.01356,-122.66664,NR,38.01356,-122.66664,38.01356,-122.66664,TRUE
201LAG280,San Geronimo - at San Geronimo Golf course,201LAG280,,Lagunitas Creek,San Geronmino Creek,San Geronimo - at San Geronimo Golf course,Non-reference,P,7,,Field Obs,,,,,FALSE,38.013003,-122.660755,NR,38.013003,-122.660755,38.013003,-122.660755,TRUE
201LAG289,San Geronimo Creek below Bridge to Water Treatment Plant,201LAG289,,San Geronimo Creek,Lagunitas Creek,San Geronimo Creek below Bridge to Water Treatment Plant,Non-reference,P,9,,Field Obs,,,,,FALSE,38.01306,-122.651005,NAD83,38.01306,-122.651005,38.01306,-122.651005,TRUE
201LAG290,Lag Water Treatment Plant,201LAG290,,San Geronimo Creek,Lagunitas Creek,NA,Non-reference,P,5,,,Stressed,P,Stressed,P,FALSE,38.01305,-122.65055,NR,38.013123,-122.650594,38.013123,-122.650594,TRUE
